fill	x	y	group	xmin	xmax	ymin	ymax
#132B43	31	42	-1	30.5	31.5	41.5	42.5
#132B43	30	43	-1	29.5	30.5	42.5	43.5
#132B43	37	43	-1	36.5	37.5	42.5	43.5
#132B43	42	43	-1	41.5	42.5	42.5	43.5
#132B43	41	45	-1	40.5	41.5	44.5	45.5
#132B43	25	19	-1	24.5	25.5	18.5	19.5
#132B43	20	20	-1	19.5	20.5	19.5	20.5
#132B43	30	20	-1	29.5	30.5	19.5	20.5
#132B43	20	21	-1	19.5	20.5	20.5	21.5
#132B43	26	21	-1	25.5	26.5	20.5	21.5
#132B43	33	21	-1	32.5	33.5	20.5	21.5
#132B43	25	22	-1	24.5	25.5	21.5	22.5
#132B43	28	22	-1	27.5	28.5	21.5	22.5
#132B43	29	22	-1	28.5	29.5	21.5	22.5
#132B43	30	22	-1	29.5	30.5	21.5	22.5
#132C44	31	22	-1	30.5	31.5	21.5	22.5
#132B43	32	22	-1	31.5	32.5	21.5	22.5
#132B43	33	22	-1	32.5	33.5	21.5	22.5
#132B43	34	22	-1	33.5	34.5	21.5	22.5
#132B43	35	22	-1	34.5	35.5	21.5	22.5
#132B43	36	22	-1	35.5	36.5	21.5	22.5
#132C44	38	22	-1	37.5	38.5	21.5	22.5
#132B43	23	23	-1	22.5	23.5	22.5	23.5
#132B43	25	23	-1	24.5	25.5	22.5	23.5
#132C44	26	23	-1	25.5	26.5	22.5	23.5
#132C44	27	23	-1	26.5	27.5	22.5	23.5
#132C44	28	23	-1	27.5	28.5	22.5	23.5
#132B43	29	23	-1	28.5	29.5	22.5	23.5
#132B43	31	23	-1	30.5	31.5	22.5	23.5
#132C44	32	23	-1	31.5	32.5	22.5	23.5
#132B43	33	23	-1	32.5	33.5	22.5	23.5
#132B43	34	23	-1	33.5	34.5	22.5	23.5
#132C44	35	23	-1	34.5	35.5	22.5	23.5
#132B43	36	23	-1	35.5	36.5	22.5	23.5
#132B43	37	23	-1	36.5	37.5	22.5	23.5
#132B43	38	23	-1	37.5	38.5	22.5	23.5
#132B43	24	24	-1	23.5	24.5	23.5	24.5
#142D46	28	24	-1	27.5	28.5	23.5	24.5
#132B43	30	24	-1	29.5	30.5	23.5	24.5
#132C44	31	24	-1	30.5	31.5	23.5	24.5
#142D45	32	24	-1	31.5	32.5	23.5	24.5
#142D46	33	24	-1	32.5	33.5	23.5	24.5
#142D45	34	24	-1	33.5	34.5	23.5	24.5
#132C44	35	24	-1	34.5	35.5	23.5	24.5
#132B43	36	24	-1	35.5	36.5	23.5	24.5
#132C44	37	24	-1	36.5	37.5	23.5	24.5
#132B43	39	24	-1	38.5	39.5	23.5	24.5
#132B43	41	24	-1	40.5	41.5	23.5	24.5
#132B43	24	25	-1	23.5	24.5	24.5	25.5
#132B43	25	25	-1	24.5	25.5	24.5	25.5
#142D45	26	25	-1	25.5	26.5	24.5	25.5
#132B43	27	25	-1	26.5	27.5	24.5	25.5
#132C44	28	25	-1	27.5	28.5	24.5	25.5
#142D45	29	25	-1	28.5	29.5	24.5	25.5
#132B43	30	25	-1	29.5	30.5	24.5	25.5
#153049	31	25	-1	30.5	31.5	24.5	25.5
#132C44	32	25	-1	31.5	32.5	24.5	25.5
#142D46	33	25	-1	32.5	33.5	24.5	25.5
#142D45	34	25	-1	33.5	34.5	24.5	25.5
#142D45	35	25	-1	34.5	35.5	24.5	25.5
#132C44	36	25	-1	35.5	36.5	24.5	25.5
#132B43	37	25	-1	36.5	37.5	24.5	25.5
#132B43	39	25	-1	38.5	39.5	24.5	25.5
#132B43	41	25	-1	40.5	41.5	24.5	25.5
#132C44	19	26	-1	18.5	19.5	25.5	26.5
#132B43	22	26	-1	21.5	22.5	25.5	26.5
#142D45	24	26	-1	23.5	24.5	25.5	26.5
#132B43	25	26	-1	24.5	25.5	25.5	26.5
#142D45	26	26	-1	25.5	26.5	25.5	26.5
#142D46	27	26	-1	26.5	27.5	25.5	26.5
#153049	28	26	-1	27.5	28.5	25.5	26.5
#142D46	29	26	-1	28.5	29.5	25.5	26.5
#152F48	30	26	-1	29.5	30.5	25.5	26.5
#17344F	31	26	-1	30.5	31.5	25.5	26.5
#16314C	32	26	-1	31.5	32.5	25.5	26.5
#132C44	33	26	-1	32.5	33.5	25.5	26.5
#132C44	34	26	-1	33.5	34.5	25.5	26.5
#132B43	35	26	-1	34.5	35.5	25.5	26.5
#142D45	36	26	-1	35.5	36.5	25.5	26.5
#142D45	37	26	-1	36.5	37.5	25.5	26.5
#132B43	38	26	-1	37.5	38.5	25.5	26.5
#132B43	40	26	-1	39.5	40.5	25.5	26.5
#132B43	22	27	-1	21.5	22.5	26.5	27.5
#132C44	23	27	-1	22.5	23.5	26.5	27.5
#132C44	24	27	-1	23.5	24.5	26.5	27.5
#142D45	25	27	-1	24.5	25.5	26.5	27.5
#153049	26	27	-1	25.5	26.5	26.5	27.5
#152F48	27	27	-1	26.5	27.5	26.5	27.5
#152F48	28	27	-1	27.5	28.5	26.5	27.5
#16314C	29	27	-1	28.5	29.5	26.5	27.5
#1A3854	30	27	-1	29.5	30.5	26.5	27.5
#17334E	31	27	-1	30.5	31.5	26.5	27.5
#17324D	32	27	-1	31.5	32.5	26.5	27.5
#142D45	33	27	-1	32.5	33.5	26.5	27.5
#152E47	34	27	-1	33.5	34.5	26.5	27.5
#152E47	35	27	-1	34.5	35.5	26.5	27.5
#132C44	36	27	-1	35.5	36.5	26.5	27.5
#132B43	37	27	-1	36.5	37.5	26.5	27.5
#132B43	38	27	-1	37.5	38.5	26.5	27.5
#132B43	39	27	-1	38.5	39.5	26.5	27.5
#132B43	40	27	-1	39.5	40.5	26.5	27.5
#132B43	23	28	-1	22.5	23.5	27.5	28.5
#132C44	24	28	-1	23.5	24.5	27.5	28.5
#132B43	25	28	-1	24.5	25.5	27.5	28.5
#152E47	26	28	-1	25.5	26.5	27.5	28.5
#16314C	27	28	-1	26.5	27.5	27.5	28.5
#17324D	28	28	-1	27.5	28.5	27.5	28.5
#16314C	29	28	-1	28.5	29.5	27.5	28.5
#17324D	30	28	-1	29.5	30.5	27.5	28.5
#183551	31	28	-1	30.5	31.5	27.5	28.5
#17344F	32	28	-1	31.5	32.5	27.5	28.5
#16314B	33	28	-1	32.5	33.5	27.5	28.5
#1B3B59	34	28	-1	33.5	34.5	27.5	28.5
#152F48	35	28	-1	34.5	35.5	27.5	28.5
#152E47	36	28	-1	35.5	36.5	27.5	28.5
#152E47	37	28	-1	36.5	37.5	27.5	28.5
#142D45	38	28	-1	37.5	38.5	27.5	28.5
#132C44	39	28	-1	38.5	39.5	27.5	28.5
#132B43	40	28	-1	39.5	40.5	27.5	28.5
#132B43	41	28	-1	40.5	41.5	27.5	28.5
#132B43	42	28	-1	41.5	42.5	27.5	28.5
#132B43	19	29	-1	18.5	19.5	28.5	29.5
#132B43	21	29	-1	20.5	21.5	28.5	29.5
#132B43	22	29	-1	21.5	22.5	28.5	29.5
#132B43	23	29	-1	22.5	23.5	28.5	29.5
#16314C	25	29	-1	24.5	25.5	28.5	29.5
#16314B	26	29	-1	25.5	26.5	28.5	29.5
#17344F	27	29	-1	26.5	27.5	28.5	29.5
#17344F	28	29	-1	27.5	28.5	28.5	29.5
#1A3A57	29	29	-1	28.5	29.5	28.5	29.5
#1A3A57	30	29	-1	29.5	30.5	28.5	29.5
#193652	31	29	-1	30.5	31.5	28.5	29.5
#183551	32	29	-1	31.5	32.5	28.5	29.5
#17344F	33	29	-1	32.5	33.5	28.5	29.5
#16314C	34	29	-1	33.5	34.5	28.5	29.5
#16314B	35	29	-1	34.5	35.5	28.5	29.5
#17324D	36	29	-1	35.5	36.5	28.5	29.5
#152E47	37	29	-1	36.5	37.5	28.5	29.5
#142D46	38	29	-1	37.5	38.5	28.5	29.5
#132B43	39	29	-1	38.5	39.5	28.5	29.5
#132B43	41	29	-1	40.5	41.5	28.5	29.5
#132C44	42	29	-1	41.5	42.5	28.5	29.5
#132B43	16	30	-1	15.5	16.5	29.5	30.5
#132B43	18	30	-1	17.5	18.5	29.5	30.5
#132C44	22	30	-1	21.5	22.5	29.5	30.5
#132B43	23	30	-1	22.5	23.5	29.5	30.5
#132C44	24	30	-1	23.5	24.5	29.5	30.5
#142D46	25	30	-1	24.5	25.5	29.5	30.5
#183550	26	30	-1	25.5	26.5	29.5	30.5
#152F48	27	30	-1	26.5	27.5	29.5	30.5
#193652	28	30	-1	27.5	28.5	29.5	30.5
#1B3B59	29	30	-1	28.5	29.5	29.5	30.5
#1F4363	30	30	-1	29.5	30.5	29.5	30.5
#1C3D5B	31	30	-1	30.5	31.5	29.5	30.5
#1F4363	32	30	-1	31.5	32.5	29.5	30.5
#1B3B59	33	30	-1	32.5	33.5	29.5	30.5
#193652	34	30	-1	33.5	34.5	29.5	30.5
#183550	35	30	-1	34.5	35.5	29.5	30.5
#152F48	36	30	-1	35.5	36.5	29.5	30.5
#142D46	37	30	-1	36.5	37.5	29.5	30.5
#142D45	38	30	-1	37.5	38.5	29.5	30.5
#132B43	39	30	-1	38.5	39.5	29.5	30.5
#132B43	40	30	-1	39.5	40.5	29.5	30.5
#132B43	41	30	-1	40.5	41.5	29.5	30.5
#132B43	42	30	-1	41.5	42.5	29.5	30.5
#132B43	44	30	-1	43.5	44.5	29.5	30.5
#132B43	21	31	-1	20.5	21.5	30.5	31.5
#132C44	22	31	-1	21.5	22.5	30.5	31.5
#142D45	24	31	-1	23.5	24.5	30.5	31.5
#152E47	25	31	-1	24.5	25.5	30.5	31.5
#152F48	26	31	-1	25.5	26.5	30.5	31.5
#17344F	27	31	-1	26.5	27.5	30.5	31.5
#1B3A58	28	31	-1	27.5	28.5	30.5	31.5
#1C3D5B	29	31	-1	28.5	29.5	30.5	31.5
#1A3A57	30	31	-1	29.5	30.5	30.5	31.5
#1C3C5A	31	31	-1	30.5	31.5	30.5	31.5
#1B3A58	32	31	-1	31.5	32.5	30.5	31.5
#183550	33	31	-1	32.5	33.5	30.5	31.5
#17344F	34	31	-1	33.5	34.5	30.5	31.5
#193753	35	31	-1	34.5	35.5	30.5	31.5
#153049	36	31	-1	35.5	36.5	30.5	31.5
#142D45	37	31	-1	36.5	37.5	30.5	31.5
#142D45	38	31	-1	37.5	38.5	30.5	31.5
#132C44	39	31	-1	38.5	39.5	30.5	31.5
#132C44	40	31	-1	39.5	40.5	30.5	31.5
#132B43	41	31	-1	40.5	41.5	30.5	31.5
#132B43	46	31	-1	45.5	46.5	30.5	31.5
#132B43	22	32	-1	21.5	22.5	31.5	32.5
#132B43	23	32	-1	22.5	23.5	31.5	32.5
#142D46	24	32	-1	23.5	24.5	31.5	32.5
#153049	25	32	-1	24.5	25.5	31.5	32.5
#142D45	26	32	-1	25.5	26.5	31.5	32.5
#17324D	27	32	-1	26.5	27.5	31.5	32.5
#1A3956	28	32	-1	27.5	28.5	31.5	32.5
#17334E	29	32	-1	28.5	29.5	31.5	32.5
#1A3956	30	32	-1	29.5	30.5	31.5	32.5
#1A3956	31	32	-1	30.5	31.5	31.5	32.5
#16314B	32	32	-1	31.5	32.5	31.5	32.5
#1A3956	33	32	-1	32.5	33.5	31.5	32.5
#1A3A57	34	32	-1	33.5	34.5	31.5	32.5
#17324D	35	32	-1	34.5	35.5	31.5	32.5
#152F48	36	32	-1	35.5	36.5	31.5	32.5
#142D46	37	32	-1	36.5	37.5	31.5	32.5
#142D46	38	32	-1	37.5	38.5	31.5	32.5
#132B43	39	32	-1	38.5	39.5	31.5	32.5
#132B43	40	32	-1	39.5	40.5	31.5	32.5
#132C44	22	33	-1	21.5	22.5	32.5	33.5
#132C44	24	33	-1	23.5	24.5	32.5	33.5
#132B43	25	33	-1	24.5	25.5	32.5	33.5
#152F48	26	33	-1	25.5	26.5	32.5	33.5
#153049	27	33	-1	26.5	27.5	32.5	33.5
#153049	28	33	-1	27.5	28.5	32.5	33.5
#1A3854	29	33	-1	28.5	29.5	32.5	33.5
#17344F	30	33	-1	29.5	30.5	32.5	33.5
#193652	31	33	-1	30.5	31.5	32.5	33.5
#16314B	32	33	-1	31.5	32.5	32.5	33.5
#183550	33	33	-1	32.5	33.5	32.5	33.5
#17344F	34	33	-1	33.5	34.5	32.5	33.5
#16314B	35	33	-1	34.5	35.5	32.5	33.5
#16314C	36	33	-1	35.5	36.5	32.5	33.5
#152E47	37	33	-1	36.5	37.5	32.5	33.5
#142D46	38	33	-1	37.5	38.5	32.5	33.5
#132C44	40	33	-1	39.5	40.5	32.5	33.5
#132B43	43	33	-1	42.5	43.5	32.5	33.5
#132B43	44	33	-1	43.5	44.5	32.5	33.5
#132B43	17	34	-1	16.5	17.5	33.5	34.5
#142D45	22	34	-1	21.5	22.5	33.5	34.5
#132B43	23	34	-1	22.5	23.5	33.5	34.5
#142D45	24	34	-1	23.5	24.5	33.5	34.5
#142D45	26	34	-1	25.5	26.5	33.5	34.5
#153049	27	34	-1	26.5	27.5	33.5	34.5
#152F48	28	34	-1	27.5	28.5	33.5	34.5
#16314B	29	34	-1	28.5	29.5	33.5	34.5
#16314B	30	34	-1	29.5	30.5	33.5	34.5
#1B3B59	31	34	-1	30.5	31.5	33.5	34.5
#153049	32	34	-1	31.5	32.5	33.5	34.5
#16314B	33	34	-1	32.5	33.5	33.5	34.5
#17324D	34	34	-1	33.5	34.5	33.5	34.5
#16314C	35	34	-1	34.5	35.5	33.5	34.5
#132C44	36	34	-1	35.5	36.5	33.5	34.5
#142D45	37	34	-1	36.5	37.5	33.5	34.5
#142D45	38	34	-1	37.5	38.5	33.5	34.5
#132C44	41	34	-1	40.5	41.5	33.5	34.5
#132B43	21	35	-1	20.5	21.5	34.5	35.5
#132B43	22	35	-1	21.5	22.5	34.5	35.5
#132B43	23	35	-1	22.5	23.5	34.5	35.5
#132B43	25	35	-1	24.5	25.5	34.5	35.5
#132C44	26	35	-1	25.5	26.5	34.5	35.5
#132C44	27	35	-1	26.5	27.5	34.5	35.5
#142D46	28	35	-1	27.5	28.5	34.5	35.5
#132B43	29	35	-1	28.5	29.5	34.5	35.5
#152E47	30	35	-1	29.5	30.5	34.5	35.5
#16314B	31	35	-1	30.5	31.5	34.5	35.5
#17334E	32	35	-1	31.5	32.5	34.5	35.5
#142D46	33	35	-1	32.5	33.5	34.5	35.5
#17324D	34	35	-1	33.5	34.5	34.5	35.5
#142D45	35	35	-1	34.5	35.5	34.5	35.5
#132C44	36	35	-1	35.5	36.5	34.5	35.5
#152E47	37	35	-1	36.5	37.5	34.5	35.5
#132B43	38	35	-1	37.5	38.5	34.5	35.5
#132B43	41	35	-1	40.5	41.5	34.5	35.5
#132B43	42	35	-1	41.5	42.5	34.5	35.5
#132B43	25	36	-1	24.5	25.5	35.5	36.5
#132B43	26	36	-1	25.5	26.5	35.5	36.5
#132B43	27	36	-1	26.5	27.5	35.5	36.5
#142D45	28	36	-1	27.5	28.5	35.5	36.5
#142D45	29	36	-1	28.5	29.5	35.5	36.5
#142D45	30	36	-1	29.5	30.5	35.5	36.5
#16314B	31	36	-1	30.5	31.5	35.5	36.5
#152E47	32	36	-1	31.5	32.5	35.5	36.5
#152E47	33	36	-1	32.5	33.5	35.5	36.5
#152E47	34	36	-1	33.5	34.5	35.5	36.5
#142D45	35	36	-1	34.5	35.5	35.5	36.5
#132C44	36	36	-1	35.5	36.5	35.5	36.5
#132B43	39	36	-1	38.5	39.5	35.5	36.5
#132B43	41	36	-1	40.5	41.5	35.5	36.5
#132B43	28	37	-1	27.5	28.5	36.5	37.5
#152E47	30	37	-1	29.5	30.5	36.5	37.5
#142D46	31	37	-1	30.5	31.5	36.5	37.5
#142D46	32	37	-1	31.5	32.5	36.5	37.5
#132B43	33	37	-1	32.5	33.5	36.5	37.5
#142D46	34	37	-1	33.5	34.5	36.5	37.5
#132C44	35	37	-1	34.5	35.5	36.5	37.5
#132B43	36	37	-1	35.5	36.5	36.5	37.5
#132B43	38	37	-1	37.5	38.5	36.5	37.5
#132B43	39	37	-1	38.5	39.5	36.5	37.5
#132B43	41	37	-1	40.5	41.5	36.5	37.5
#132B43	27	38	-1	26.5	27.5	37.5	38.5
#132B43	28	38	-1	27.5	28.5	37.5	38.5
#132B43	29	38	-1	28.5	29.5	37.5	38.5
#132B43	30	38	-1	29.5	30.5	37.5	38.5
#132C44	31	38	-1	30.5	31.5	37.5	38.5
#132C44	32	38	-1	31.5	32.5	37.5	38.5
#142D46	33	38	-1	32.5	33.5	37.5	38.5
#132C44	34	38	-1	33.5	34.5	37.5	38.5
#132C44	35	38	-1	34.5	35.5	37.5	38.5
#132C44	36	38	-1	35.5	36.5	37.5	38.5
#132B43	37	38	-1	36.5	37.5	37.5	38.5
#132B43	38	38	-1	37.5	38.5	37.5	38.5
#132B43	42	38	-1	41.5	42.5	37.5	38.5
#132B43	28	39	-1	27.5	28.5	38.5	39.5
#132C44	30	39	-1	29.5	30.5	38.5	39.5
#132B43	32	39	-1	31.5	32.5	38.5	39.5
#132B43	33	39	-1	32.5	33.5	38.5	39.5
#132C44	36	39	-1	35.5	36.5	38.5	39.5
#132B43	39	39	-1	38.5	39.5	38.5	39.5
#132B43	42	39	-1	41.5	42.5	38.5	39.5
#132B43	28	40	-1	27.5	28.5	39.5	40.5
#132B43	29	40	-1	28.5	29.5	39.5	40.5
#132B43	30	40	-1	29.5	30.5	39.5	40.5
#132B43	32	40	-1	31.5	32.5	39.5	40.5
#132B43	33	40	-1	32.5	33.5	39.5	40.5
#132B43	35	40	-1	34.5	35.5	39.5	40.5
#132B43	36	40	-1	35.5	36.5	39.5	40.5
#132B43	29	41	-1	28.5	29.5	40.5	41.5
#132B43	33	41	-1	32.5	33.5	40.5	41.5
#132B43	36	41	-1	35.5	36.5	40.5	41.5
#132B43	42	41	-1	41.5	42.5	40.5	41.5
#132B43	44	42	-1	43.5	44.5	41.5	42.5
#132B43	30	43	-1	29.5	30.5	42.5	43.5
#132B43	27	45	-1	26.5	27.5	44.5	45.5
#132B43	50	50	-1	49.5	50.5	49.5	50.5
#132B43	15	14	-1	14.5	15.5	13.5	14.5
#132B43	18	14	-1	17.5	18.5	13.5	14.5
#132B43	25	16	-1	24.5	25.5	15.5	16.5
#132B43	21	19	-1	20.5	21.5	18.5	19.5
#132B43	31	19	-1	30.5	31.5	18.5	19.5
#132B43	20	20	-1	19.5	20.5	19.5	20.5
#132B43	28	20	-1	27.5	28.5	19.5	20.5
#132B43	27	21	-1	26.5	27.5	20.5	21.5
#132B43	28	21	-1	27.5	28.5	20.5	21.5
#132B43	29	21	-1	28.5	29.5	20.5	21.5
#132C44	26	22	-1	25.5	26.5	21.5	22.5
#132B43	28	22	-1	27.5	28.5	21.5	22.5
#132B43	29	22	-1	28.5	29.5	21.5	22.5
#132B43	30	22	-1	29.5	30.5	21.5	22.5
#132B43	33	22	-1	32.5	33.5	21.5	22.5
#132B43	38	22	-1	37.5	38.5	21.5	22.5
#132B43	23	23	-1	22.5	23.5	22.5	23.5
#132B43	24	23	-1	23.5	24.5	22.5	23.5
#132B43	26	23	-1	25.5	26.5	22.5	23.5
#132B43	27	23	-1	26.5	27.5	22.5	23.5
#142D45	28	23	-1	27.5	28.5	22.5	23.5
#132C44	32	23	-1	31.5	32.5	22.5	23.5
#132C44	36	23	-1	35.5	36.5	22.5	23.5
#132B43	38	23	-1	37.5	38.5	22.5	23.5
#132B43	24	24	-1	23.5	24.5	23.5	24.5
#132B43	25	24	-1	24.5	25.5	23.5	24.5
#142D45	26	24	-1	25.5	26.5	23.5	24.5
#132B43	27	24	-1	26.5	27.5	23.5	24.5
#132B43	28	24	-1	27.5	28.5	23.5	24.5
#142D45	29	24	-1	28.5	29.5	23.5	24.5
#132B43	30	24	-1	29.5	30.5	23.5	24.5
#142D45	31	24	-1	30.5	31.5	23.5	24.5
#142D46	32	24	-1	31.5	32.5	23.5	24.5
#132B43	33	24	-1	32.5	33.5	23.5	24.5
#132C44	34	24	-1	33.5	34.5	23.5	24.5
#132B43	35	24	-1	34.5	35.5	23.5	24.5
#132B43	37	24	-1	36.5	37.5	23.5	24.5
#132B43	38	24	-1	37.5	38.5	23.5	24.5
#132B43	22	25	-1	21.5	22.5	24.5	25.5
#132B43	24	25	-1	23.5	24.5	24.5	25.5
#142D46	26	25	-1	25.5	26.5	24.5	25.5
#132B43	27	25	-1	26.5	27.5	24.5	25.5
#132C44	30	25	-1	29.5	30.5	24.5	25.5
#132C44	31	25	-1	30.5	31.5	24.5	25.5
#132B43	32	25	-1	31.5	32.5	24.5	25.5
#142D45	33	25	-1	32.5	33.5	24.5	25.5
#142D45	34	25	-1	33.5	34.5	24.5	25.5
#132B43	35	25	-1	34.5	35.5	24.5	25.5
#132B43	37	25	-1	36.5	37.5	24.5	25.5
#132C44	38	25	-1	37.5	38.5	24.5	25.5
#132B43	41	25	-1	40.5	41.5	24.5	25.5
#132B43	43	25	-1	42.5	43.5	24.5	25.5
#132B43	19	26	-1	18.5	19.5	25.5	26.5
#142D45	23	26	-1	22.5	23.5	25.5	26.5
#132C44	24	26	-1	23.5	24.5	25.5	26.5
#132B43	25	26	-1	24.5	25.5	25.5	26.5
#152E47	26	26	-1	25.5	26.5	25.5	26.5
#132C44	27	26	-1	26.5	27.5	25.5	26.5
#152E47	28	26	-1	27.5	28.5	25.5	26.5
#152F48	29	26	-1	28.5	29.5	25.5	26.5
#153049	30	26	-1	29.5	30.5	25.5	26.5
#152E47	31	26	-1	30.5	31.5	25.5	26.5
#142D45	32	26	-1	31.5	32.5	25.5	26.5
#132C44	33	26	-1	32.5	33.5	25.5	26.5
#142D45	34	26	-1	33.5	34.5	25.5	26.5
#152E47	35	26	-1	34.5	35.5	25.5	26.5
#142D46	36	26	-1	35.5	36.5	25.5	26.5
#132B43	37	26	-1	36.5	37.5	25.5	26.5
#132B43	38	26	-1	37.5	38.5	25.5	26.5
#132B43	39	26	-1	38.5	39.5	25.5	26.5
#132B43	42	26	-1	41.5	42.5	25.5	26.5
#132C44	24	27	-1	23.5	24.5	26.5	27.5
#142D45	25	27	-1	24.5	25.5	26.5	27.5
#152F48	26	27	-1	25.5	26.5	26.5	27.5
#142D46	27	27	-1	26.5	27.5	26.5	27.5
#17324D	28	27	-1	27.5	28.5	26.5	27.5
#152F48	29	27	-1	28.5	29.5	26.5	27.5
#183550	30	27	-1	29.5	30.5	26.5	27.5
#153049	31	27	-1	30.5	31.5	26.5	27.5
#16314C	32	27	-1	31.5	32.5	26.5	27.5
#152F48	33	27	-1	32.5	33.5	26.5	27.5
#153049	34	27	-1	33.5	34.5	26.5	27.5
#142D45	35	27	-1	34.5	35.5	26.5	27.5
#132B43	36	27	-1	35.5	36.5	26.5	27.5
#132B43	40	27	-1	39.5	40.5	26.5	27.5
#132B43	44	27	-1	43.5	44.5	26.5	27.5
#132B43	20	28	-1	19.5	20.5	27.5	28.5
#132C44	23	28	-1	22.5	23.5	27.5	28.5
#142D45	24	28	-1	23.5	24.5	27.5	28.5
#132C44	25	28	-1	24.5	25.5	27.5	28.5
#152F48	26	28	-1	25.5	26.5	27.5	28.5
#153049	27	28	-1	26.5	27.5	27.5	28.5
#17334E	28	28	-1	27.5	28.5	27.5	28.5
#152E47	29	28	-1	28.5	29.5	27.5	28.5
#17344F	30	28	-1	29.5	30.5	27.5	28.5
#152E47	31	28	-1	30.5	31.5	27.5	28.5
#152E47	32	28	-1	31.5	32.5	27.5	28.5
#16314B	33	28	-1	32.5	33.5	27.5	28.5
#152E47	34	28	-1	33.5	34.5	27.5	28.5
#142D46	35	28	-1	34.5	35.5	27.5	28.5
#132C44	37	28	-1	36.5	37.5	27.5	28.5
#132B43	38	28	-1	37.5	38.5	27.5	28.5
#132B43	21	29	-1	20.5	21.5	28.5	29.5
#132C44	23	29	-1	22.5	23.5	28.5	29.5
#132B43	24	29	-1	23.5	24.5	28.5	29.5
#152F48	25	29	-1	24.5	25.5	28.5	29.5
#152F48	26	29	-1	25.5	26.5	28.5	29.5
#17344F	27	29	-1	26.5	27.5	28.5	29.5
#193753	28	29	-1	27.5	28.5	28.5	29.5
#17344F	29	29	-1	28.5	29.5	28.5	29.5
#183551	30	29	-1	29.5	30.5	28.5	29.5
#17324D	31	29	-1	30.5	31.5	28.5	29.5
#16314B	32	29	-1	31.5	32.5	28.5	29.5
#17334E	33	29	-1	32.5	33.5	28.5	29.5
#142D46	34	29	-1	33.5	34.5	28.5	29.5
#16314B	35	29	-1	34.5	35.5	28.5	29.5
#132C44	36	29	-1	35.5	36.5	28.5	29.5
#132B43	37	29	-1	36.5	37.5	28.5	29.5
#132B43	38	29	-1	37.5	38.5	28.5	29.5
#132B43	39	29	-1	38.5	39.5	28.5	29.5
#132B43	40	29	-1	39.5	40.5	28.5	29.5
#132B43	18	30	-1	17.5	18.5	29.5	30.5
#132B43	22	30	-1	21.5	22.5	29.5	30.5
#132B43	23	30	-1	22.5	23.5	29.5	30.5
#142D46	24	30	-1	23.5	24.5	29.5	30.5
#132B43	25	30	-1	24.5	25.5	29.5	30.5
#152F48	26	30	-1	25.5	26.5	29.5	30.5
#152E47	27	30	-1	26.5	27.5	29.5	30.5
